School Year,ULCS Code,School Name,School Level,Average Daily Attendance
2018-2019,2010,Benjamin Franklin High School,High,79.3
2018-2019,2020,High School for Creative and Performing Arts,High,96.09999999999999
2018-2019,2140,Julia R. Masterman School,Middle-High,97.90000000000001
2018-2019,2160,Furness High School,High,87.0
2018-2019,2190,D. Newlin Fell School,Elementary-Middle,93.59999999999999
2018-2019,2210,Bache-Martin School,Elementary-Middle,93.09999999999999
2018-2019,2240,F. Amedee Bregy School,Elementary-Middle,92.09999999999999
2018-2019,2260,George W. Childs School,Elementary-Middle,92.8
2018-2019,2290,Franklin Learning Center,High,93.09999999999999
2018-2019,2320,Stephen Girard School,Elementary,90.7
2018-2019,2340,General George A. McCall School,Elementary-Middle,97.6
2018-2019,2370,Delaplaine McDaniel School,Elementary-Middle,90.4
2018-2019,2380,William M. Meredith School,Elementary-Middle,96.9
2018-2019,2390,Robert Morris School,Elementary-Middle,92.2
2018-2019,2410,Girard Academic Music Program,Middle-High,96.40000000000001
2018-2019,2450,Edwin M. Stanton School,Elementary-Middle,93.2
2018-2019,2470,Albert M. Greenfield School,Elementary-Middle,96.5
2018-2019,2480,Chester A. Arthur School,Elementary-Middle,93.0
2018-2019,2490,Laura W. Waring School,Elementary-Middle,91.2
2018-2019,2510,Andrew Jackson School,Elementary-Middle,95.2
2018-2019,2520,Abram S. Jenks School,Elementary,96.3
2018-2019,2540,Francis S. Key School,Elementary,94.8
2018-2019,2580,Eliza B. Kirkbride School,Elementary-Middle,97.0
2018-2019,2590,George W. Nebinger School,Elementary-Middle,95.0
2018-2019,2620,Academy at Palumbo,High,95.4
2018-2019,2630,George W. Sharswood School,Elementary-Middle,93.09999999999999
2018-2019,2640,Southwark School,Elementary-Middle,95.3
2018-2019,2650,Science Leadership Academy,High,95.2
2018-2019,2670,Constitution High School,High,93.3
2018-2019,2690,John H. Taggart School,Elementary-Middle,94.8
2018-2019,2720,Vare-Washington School,Elementary-Middle,95.0
2018-2019,4020,Overbrook High School,High,75
2018-2019,4030,High School of Engineering and Science,Middle-High,96.7
2018-2019,4060,Murrell Dobbins Career and Technical High School,High,87.09999999999999
2018-2019,4140,Strawberry Mansion High School,High,81.8
2018-2019,4220,James G. Blaine School,Elementary-Middle,90.0
2018-2019,4240,Lewis C. Cassidy Academics Plus School,Elementary-Middle,89.59999999999999
2018-2019,4270,William Dick School,Elementary-Middle,89.0
2018-2019,4280,Samuel Gompers School,Elementary-Middle,92.7
2018-2019,4300,Edward Heston School,Elementary-Middle,87.8
2018-2019,4320,Robert E. Lamberton School,Elementary-Middle,91.2
2018-2019,4350,E. Washington Rhodes School,Elementary-Middle,90.4
2018-2019,4370,Overbrook Elementary School,Elementary-Middle,92.4
2018-2019,4380,Thomas M. Peirce School,Elementary,89.2
2018-2019,4440,Dr. Ethel Allen School,Elementary-Middle,89.7
2018-2019,4460,Tanner G. Duckrey School,Elementary-Middle,87.2
2018-2019,4470,Richard R. Wright School,Elementary,90.4
2018-2019,4480,Overbrook Educational Center,Elementary-Middle,96.09999999999999
2018-2019,4530,Edward Gideon School,Elementary-Middle,89.0
2018-2019,4560,William D. Kelley School,Elementary-Middle,89.4
2018-2019,4570,General George G. Meade School,Elementary-Middle,89.3
2018-2019,5020,Thomas A. Edison High School,High,80.0
2018-2019,5050,Philadelphia Military Academy,High,91.9
2018-2019,5060,Jules E. Mastbaum Area Vocational Technical High School,High,87.5
2018-2019,5070,Parkway Northwest High School,High,95.4
2018-2019,5080,Parkway Center City Middle College High School,High,93.7
2018-2019,5090,Parkway West High School,High,92.3
2018-2019,5150,William W. Bodine High School,High,94.4
2018-2019,5160,Penn Treaty High School,Middle-High,88.9
2018-2019,5170,Julia de Burgos School,Elementary-Middle,89.4
2018-2019,5200,Alexander Adaire School,Elementary-Middle,96.09999999999999
2018-2019,5210,Henry A. Brown School,Elementary-Middle,92.8
2018-2019,5230,Russell H. Conwell School,Middle,95.2
2018-2019,5250,Paul L. Dunbar School,Elementary-Middle,91.8
2018-2019,5260,Lewis Elkin School,Elementary,90.90000000000001
2018-2019,5300,Horatio B. Hackett School,Elementary,93.5
2018-2019,5320,John F. Hartranft School,Elementary-Middle,91.2
2018-2019,5330,William H. Hunter School,Elementary-Middle,90.4
2018-2019,5340,James R. Ludlow School,Elementary-Middle,91.9
2018-2019,5350,William McKinley School,Elementary-Middle,91.4
2018-2019,5370,John Moffet School,Elementary,94.5
2018-2019,5390,Potter-Thomas School,Elementary-Middle,90.90000000000001
2018-2019,5400,Richmond School,Elementary,92.7
2018-2019,5410,Isaac A. Sheppard School,Elementary,90.2
2018-2019,5420,John Welsh School,Elementary-Middle,92.3
2018-2019,5430,Alternative Middle Years at James Martin,Middle,94.3
2018-2019,5440,Frances E. Willard School,Elementary,91.0
2018-2019,5470,William Cramp School,Elementary,91.59999999999999
2018-2019,5480,General Philip Kearny School,Elementary-Middle,92.2
2018-2019,5490,Cayuga School,Elementary,91.8
2018-2019,5500,Thurgood Marshall School,Elementary-Middle,91.7
2018-2019,5520,Kensington High School for Creative and Performing Arts,High,85.8
2018-2019,5530,Philip H. Sheridan School,Elementary,91.3
2018-2019,5550,Kensington Health Sciences Academy,High,89.8
2018-2019,5560,Spring Garden School,Elementary-Middle,93.3
2018-2019,5590,John H. Webster School,Elementary,91.4
2018-2019,5680,Honorable Luis Munoz-Marin School,Elementary-Middle,90.8
2018-2019,6010,Central High School,High,97.6
2018-2019,6030,Roxborough High School,High,87.40000000000001
2018-2019,6040,Walter B. Saul High School,High,91.3
2018-2019,6050,Philadelphia High School for Girls,High,93.4
2018-2019,6060,Martin Luther King High School,High,86.0
2018-2019,6090,A. Philip Randolph Career and Technical High School,High,86.1
2018-2019,6200,Anna B. Day School,Elementary-Middle,92.3
2018-2019,6210,Franklin S. Edmonds School,Elementary-Middle,92.8
2018-2019,6220,Eleanor C. Emlen School,Elementary,93.0
2018-2019,6230,Fitler Academics Plus School,Elementary-Middle,94.09999999999999
2018-2019,6250,Charles W. Henry School,Elementary-Middle,95.59999999999999
2018-2019,6260,Henry H. Houston School,Elementary-Middle,93.4
2018-2019,6270,Jenks Academy for Arts and Sciences,Elementary-Middle,96.0
2018-2019,6300,James Logan School,Elementary,93.09999999999999
2018-2019,6310,John F. McCloskey School,Elementary-Middle,92.5
2018-2019,6320,Thomas Mifflin School,Elementary-Middle,94.09999999999999
2018-2019,6340,Joseph Pennell School,Elementary,91.59999999999999
2018-2019,6350,Samuel Pennypacker School,Elementary-Middle,91.2
2018-2019,6360,Theodore Roosevelt School,Elementary-Middle,88.59999999999999
2018-2019,6380,Shawmont School,Elementary-Middle,94.7
2018-2019,6390,Edward T. Steel School,Elementary-Middle,88.7
2018-2019,6410,Cook-Wissahickon School,Elementary-Middle,94.7
2018-2019,6440,Anna L. Lingelbach School,Elementary-Middle,93.8
2018-2019,6450,James Dobson School,Elementary-Middle,93.8
2018-2019,6460,Hill-Freedman World Academy,Middle-High,95.2
2018-2019,6470,John B. Kelly School,Elementary,89.9
2018-2019,6480,Academy for the Middle Years at Northwest,Middle,95.8
2018-2019,6540,Lankenau High School,High,94.5
2018-2019,7010,Frankford High School,High,83.90000000000001
2018-2019,7100,Jay Cooke School,Elementary-Middle,90.2
2018-2019,7110,Warren G. Harding School,Middle,92.5
2018-2019,7120,Samuel Fels High School,High,85.40000000000001
2018-2019,7130,General Louis Wagner School,Middle,93.3
2018-2019,7150,Juniata Park Academy,Elementary-Middle,94.09999999999999
2018-2019,7200,Clara Barton School,Elementary,91.5
2018-2019,7220,Laura H. Carnell School,Elementary,90.59999999999999
2018-2019,7260,Ellwood School,Elementary,93.4
2018-2019,7270,Thomas K. Finletter School,Elementary-Middle,93.8
2018-2019,7280,Benjamin Franklin School,Elementary-Middle,95.59999999999999
2018-2019,7290,Allen M. Stearne School,Elementary-Middle,89.9
2018-2019,7300,Francis Hopkinson School,Elementary-Middle,92.09999999999999
2018-2019,7310,Feltonville Intermediate School,Elementary,94.3
2018-2019,7320,Julia W. Howe School,Elementary,93.4
2018-2019,7330,Henry W. Lawton School,Elementary,90.59999999999999
2018-2019,7350,James R. Lowell School,Elementary,91.8
2018-2019,7360,John Marshall School,Elementary,91.09999999999999
2018-2019,7370,"Grover Washington, Jr. School",Middle,95.3
2018-2019,7380,Alexander K. McClure School,Elementary,91.2
2018-2019,7390,Andrew J. Morrison School,Elementary-Middle,92.8
2018-2019,7400,Olney School,Elementary-Middle,94.2
2018-2019,7430,James J. Sullivan School,Elementary,90.4
2018-2019,7440,Bayard Taylor School,Elementary,90.8
2018-2019,7460,William H. Ziegler School,Elementary-Middle,92.2
2018-2019,7470,Bridesburg School,Elementary-Middle,92.8
2018-2019,7490,Prince Hall School,Elementary,93.09999999999999
2018-2019,7500,Feltonville School of Arts and Sciences,Middle,95.0
2018-2019,7510,Mary M. Bethune School,Elementary-Middle,88.7
2018-2019,7530,William Rowen School,Elementary,92.9
2018-2019,7730,Roberto Clemente School,Middle,93.4
2018-2019,8010,Abraham Lincoln High School,High,89.0
2018-2019,8020,Northeast High School,High,89.7
2018-2019,8030,George Washington High School,High,90.09999999999999
2018-2019,8040,Arts Academy at Benjamin Rush,High,95.7
2018-2019,8090,Swenson Arts and Technology High School,High,92.8
2018-2019,8120,Woodrow Wilson School,Middle,94.5
2018-2019,8140,Austin Meehan School,Middle,91.5
2018-2019,8160,Baldi School,Middle,95.5
2018-2019,8200,Ethan Allen School,Elementary-Middle,95.09999999999999
2018-2019,8210,Joseph H. Brown School,Elementary,92.3
2018-2019,8230,Kennedy C. Crossan School,Elementary,95.5
2018-2019,8240,Hamilton Disston School,Elementary-Middle,89.59999999999999
2018-2019,8250,Edwin Forrest School,Elementary,92.5
2018-2019,8260,Fox Chase School,Elementary,93.9
2018-2019,8270,Thomas Holme School,Elementary,93.59999999999999
2018-2019,8300,Mayfair School,Elementary-Middle,96.2
2018-2019,8310,J. Hampton Moore School,Elementary,94.0
2018-2019,8340,Solomon Solis-Cohen School,Elementary,93.7
2018-2019,8350,Gilbert Spruance School,Elementary-Middle,93.3
2018-2019,8360,Rhawnhurst School,Elementary,94.3
2018-2019,8370,Watson Comly School,Elementary,94.9
2018-2019,8380,Louis H. Farrell School,Elementary-Middle,95.2
2018-2019,8390,A.L. Fitzpatrick School,Elementary-Middle,93.3
2018-2019,8400,Anne Frank School,Elementary,95.9
2018-2019,8410,Robert B. Pollock School,Elementary,92.5
2018-2019,8420,Stephen Decatur School,Elementary-Middle,94.3
2018-2019,8430,Joseph Greenberg School,Elementary-Middle,97.09999999999999
2018-2019,8440,William H. Loesche School,Elementary,94.3
2018-2019,8560,The Workshop School,High,91.4
2018-2019,2680,The Science Leadership Academy at Beeber,Middle-High,95.5
2018-2019,5610,Building 21,High,88.5
2018-2019,5620,The U School,High,85.40000000000001
2018-2019,5660,The LINC,High,85.8
2018-2019,6400,Widener Memorial School,Elementary-Middle-High,74.8
2018-2019,8780,Philadelphia Virtual Academy,Middle-High,99.9
2018-2019,2050,Science Leadership Academy Middle School,Middle,95.5
2018-2019,4360,Kenderton Elementary School,Elementary-Middle,88.8
2018-2019,5700,Kensington High School,High,80.7
2018-2019,8770,John Hancock Demonstration School,Elementary-Middle,94.09999999999999
2018-2019,5180,Vaux High School: A Big Picture,High,87.0
2019-2020,1010,John Bartram High School,High,78.8
2019-2020,1020,West Philadelphia High School,High,84.2
2019-2020,1030,High School of the Future,High,91.6
2019-2020,1050,Paul Robeson High School for Human Services,High,96.0
2019-2020,1100,William L. Sayre High School,High,86.9
2019-2020,1130,William T. Tilden School,Middle,95.0
2019-2020,1190,Motivation High School,High,97.7
2019-2020,1200,John Barry School,Elementary-Middle,88.8
2019-2020,1230,William C. Bryant School,Elementary-Middle,89.0
2019-2020,1250,Joseph W. Catharine School,Elementary,92.9
2019-2020,1260,Benjamin B. Comegys School,Elementary-Middle,89.5
2019-2020,1280,Sadie Alexander School,Elementary-Middle,97.3
2019-2020,1290,Andrew Hamilton School,Elementary-Middle,89.2
2019-2020,1300,Avery D. Harrington School,Elementary-Middle,90.3
2019-2020,1340,Henry C. Lea School,Elementary-Middle,92.9
2019-2020,1350,William C. Longstreth School,Elementary-Middle,91.3
2019-2020,1360,Morton McMichael School,Elementary-Middle,91.3
2019-2020,1370,S. Weir Mitchell School,Elementary-Middle,91.6
2019-2020,1380,Thomas G. Morton School,Elementary,92.3
2019-2020,1390,Samuel Powel School,Elementary,95.9
2019-2020,1400,John M. Patterson School,Elementary,96.0
2019-2020,1410,James Rhoads School,Elementary-Middle,90.5
2019-2020,1420,Martha Washington School,Elementary-Middle,92.4
2019-2020,1440,Penrose School,Elementary-Middle,91.5
2019-2020,1460,Add B. Anderson School,Elementary-Middle,91.7
2019-2020,1470,Alain Locke School,Elementary-Middle,90.2
2019-2020,1490,Rudolph Blankenburg School,Elementary-Middle,89.5
2019-2020,1580,Middle Years Alternative School,Middle,98.2
2019-2020,2000,South Philadelphia High School,High,85.9
2019-2020,2010,Benjamin Franklin High School,High,84.3
2019-2020,2020,High School for Creative and Performing Arts,High,96.7
2019-2020,2140,Julia R. Masterman School,Middle-High,98.0
2019-2020,2160,Furness High School,High,86.9
2019-2020,2190,D. Newlin Fell School,Elementary-Middle,93.6
2019-2020,2210,Bache-Martin School,Elementary-Middle,94.3
2019-2020,2240,F. Amedee Bregy School,Elementary-Middle,92.8
2019-2020,2260,George W. Childs School,Elementary-Middle,93.6
2019-2020,2290,Franklin Learning Center,High,93.1
2019-2020,2320,Stephen Girard School,Elementary,91.0
2019-2020,2340,General George A. McCall School,Elementary-Middle,97.3
2019-2020,2370,Delaplaine McDaniel School,Elementary-Middle,89.5
2019-2020,2380,William M. Meredith School,Elementary-Middle,97.0
2019-2020,2390,Robert Morris School,Elementary-Middle,93.3
2019-2020,2410,Girard Academic Music Program,Middle-High,96.9
2019-2020,2450,Edwin M. Stanton School,Elementary-Middle,94.8
2019-2020,2470,Albert M. Greenfield School,Elementary-Middle,96.7
2019-2020,2480,Chester A. Arthur School,Elementary-Middle,94.7
2019-2020,2490,Laura W. Waring School,Elementary-Middle,93.2
2019-2020,2510,Andrew Jackson School,Elementary-Middle,96.0
2019-2020,2520,Abram S. Jenks School,Elementary,96.2
2019-2020,2540,Francis S. Key School,Elementary,95.1
2019-2020,2580,Eliza B. Kirkbride School,Elementary-Middle,96.7
2019-2020,2590,George W. Nebinger School,Elementary-Middle,95.4
2019-2020,2620,Academy at Palumbo,High,96.7
2019-2020,2630,George W. Sharswood School,Elementary-Middle,92.8
2019-2020,2640,Southwark School,Elementary-Middle,95.6
2019-2020,2650,Science Leadership Academy,High,96.2
2019-2020,2670,Constitution High School,High,95.8
2019-2020,2690,John H. Taggart School,Elementary-Middle,96.1
2019-2020,2720,Vare-Washington School,Elementary-Middle,95.7
2019-2020,4020,Overbrook High School,High,78.9
2019-2020,4030,High School of Engineering and Science,Middle-High,97.1
2019-2020,4060,Murrell Dobbins Career and Technical High School,High,88.4
2019-2020,4140,Strawberry Mansion High School,High,79.2
2019-2020,4220,James G. Blaine School,Elementary-Middle,90.5
2019-2020,4240,Lewis C. Cassidy Academics Plus School,Elementary-Middle,92.2
2019-2020,4270,William Dick School,Elementary-Middle,89.5
2019-2020,4280,Samuel Gompers School,Elementary-Middle,93.4
2019-2020,4300,Edward Heston School,Elementary-Middle,89.2
2019-2020,4320,Robert E. Lamberton School,Elementary-Middle,91.4
2019-2020,4350,E. Washington Rhodes School,Elementary-Middle,90.6
2019-2020,4370,Overbrook Elementary School,Elementary-Middle,92.3
2019-2020,4380,Thomas M. Peirce School,Elementary,88.2
2019-2020,4440,Dr. Ethel Allen School,Elementary-Middle,90.5
2019-2020,4460,Tanner G. Duckrey School,Elementary-Middle,89.0
2019-2020,4470,Richard R. Wright School,Elementary,90.7
2019-2020,4480,Overbrook Educational Center,Elementary-Middle,95.9
2019-2020,4530,Edward Gideon School,Elementary-Middle,91.4
2019-2020,4560,William D. Kelley School,Elementary-Middle,91.0
2019-2020,4570,General George G. Meade School,Elementary-Middle,91.0
2019-2020,5020,Thomas A. Edison High School,High,80.0
2019-2020,5050,Philadelphia Military Academy,High,91.4
2019-2020,5060,Jules E. Mastbaum Area Vocational Technical High School,High,88.4
2019-2020,5070,Parkway Northwest High School,High,97.4
2019-2020,5080,Parkway Center City Middle College High School,High,96.2
2019-2020,5090,Parkway West High School,High,91.9
2019-2020,5150,William W. Bodine High School,High,95.3
2019-2020,5160,Penn Treaty High School,Middle-High,87.1
2019-2020,5170,Julia de Burgos School,Elementary-Middle,90.8
2019-2020,5200,Alexander Adaire School,Elementary-Middle,96.1
2019-2020,5210,Henry A. Brown School,Elementary-Middle,93.1
2019-2020,5230,Russell H. Conwell School,Middle,95.1
2019-2020,5250,Paul L. Dunbar School,Elementary-Middle,92.9
2019-2020,5260,Lewis Elkin School,Elementary,90.5
2019-2020,5300,Horatio B. Hackett School,Elementary,95.0
2019-2020,5320,John F. Hartranft School,Elementary-Middle,90.4
2019-2020,5330,William H. Hunter School,Elementary-Middle,90.7
2019-2020,5340,James R. Ludlow School,Elementary-Middle,92.3
2019-2020,5350,William McKinley School,Elementary-Middle,91.7
2019-2020,5370,John Moffet School,Elementary,95.1
2019-2020,5390,Potter-Thomas School,Elementary-Middle,91.3
2019-2020,5400,Richmond School,Elementary,92.2
2019-2020,5410,Isaac A. Sheppard School,Elementary,91.4
2019-2020,5420,John Welsh School,Elementary-Middle,92.8
2019-2020,5430,Alternative Middle Years at James Martin,Middle,95.5
2019-2020,5440,Frances E. Willard School,Elementary,91.2
2019-2020,5470,William Cramp School,Elementary,92.4
2019-2020,5480,General Philip Kearny School,Elementary-Middle,93.1
2019-2020,5490,Cayuga School,Elementary,93.8
2019-2020,5500,Thurgood Marshall School,Elementary-Middle,92.0
2019-2020,5520,Kensington High School for Creative and Performing Arts,High,86.3
2019-2020,5530,Philip H. Sheridan School,Elementary,92.4
2019-2020,5550,Kensington Health Sciences Academy,High,89.5
2019-2020,5560,Spring Garden School,Elementary-Middle,93.1
2019-2020,5590,John H. Webster School,Elementary,92.8
2019-2020,5680,Honorable Luis Munoz-Marin School,Elementary-Middle,91.9
2019-2020,6010,Central High School,High,97.4
2019-2020,6030,Roxborough High School,High,88.3
2019-2020,6040,Walter B. Saul High School,High,93.4
2019-2020,6050,Philadelphia High School for Girls,High,94.8
2019-2020,6060,Martin Luther King High School,High,83.7
2019-2020,6090,A. Philip Randolph Career and Technical High School,High,88.9
2019-2020,6200,Anna B. Day School,Elementary-Middle,93.0
2019-2020,6210,Franklin S. Edmonds School,Elementary-Middle,92.6
2019-2020,6220,Eleanor C. Emlen School,Elementary,94.0
2019-2020,6230,Fitler Academics Plus School,Elementary-Middle,94.1
2019-2020,6250,Charles W. Henry School,Elementary-Middle,96.1
2019-2020,6260,Henry H. Houston School,Elementary-Middle,95.1
2019-2020,6270,Jenks Academy for Arts and Sciences,Elementary-Middle,96.0
2019-2020,6300,James Logan School,Elementary,93.9
2019-2020,6310,John F. McCloskey School,Elementary-Middle,94.5
2019-2020,6320,Thomas Mifflin School,Elementary-Middle,93.4
2019-2020,6340,Joseph Pennell School,Elementary,91.8
2019-2020,6350,Samuel Pennypacker School,Elementary-Middle,92.1
2019-2020,6360,Theodore Roosevelt School,Elementary-Middle,88.7
2019-2020,6380,Shawmont School,Elementary-Middle,94.6
2019-2020,6390,Edward T. Steel School,Elementary-Middle,88.9
2019-2020,6410,Cook-Wissahickon School,Elementary-Middle,94.3
2019-2020,6440,Anna L. Lingelbach School,Elementary-Middle,93.7
2019-2020,6450,James Dobson School,Elementary-Middle,94.4
2019-2020,6460,Hill-Freedman World Academy,Middle-High,95.7
2019-2020,6470,John B. Kelly School,Elementary,90.6
2019-2020,6480,Academy for the Middle Years at Northwest,Middle,96.3
2019-2020,6540,Lankenau High School,High,96.5
2019-2020,7010,Frankford High School,High,84.2
2019-2020,7100,Jay Cooke School,Elementary-Middle,91.0
2019-2020,7110,Warren G. Harding School,Middle,91.9
2019-2020,7120,Samuel Fels High School,High,88.1
2019-2020,7130,General Louis Wagner School,Middle,94.1
2019-2020,7150,Juniata Park Academy,Elementary-Middle,94.7
2019-2020,7200,Clara Barton School,Elementary,92.4
2019-2020,7220,Laura H. Carnell School,Elementary,93.2
2019-2020,7260,Ellwood School,Elementary,93.6
2019-2020,7270,Thomas K. Finletter School,Elementary-Middle,95.7
2019-2020,7280,Benjamin Franklin School,Elementary-Middle,94.9
2019-2020,7290,Allen M. Stearne School,Elementary-Middle,90.5
2019-2020,7300,Francis Hopkinson School,Elementary-Middle,92.5
2019-2020,7310,Feltonville Intermediate School,Elementary,93.7
2019-2020,7320,Julia W. Howe School,Elementary,94.8
2019-2020,7330,Henry W. Lawton School,Elementary,92.5
2019-2020,7350,James R. Lowell School,Elementary,91.7
2019-2020,7360,John Marshall School,Elementary,91.6
2019-2020,7370,"Grover Washington, Jr. School",Middle,96.0
2019-2020,7380,Alexander K. McClure School,Elementary,92.9
2019-2020,7390,Andrew J. Morrison School,Elementary-Middle,93.1
2019-2020,7400,Olney School,Elementary-Middle,94.7
2019-2020,7430,James J. Sullivan School,Elementary,88.7
2019-2020,7440,Bayard Taylor School,Elementary,90.8
2019-2020,7460,William H. Ziegler School,Elementary-Middle,92.4
2019-2020,7470,Bridesburg School,Elementary-Middle,93.3
2019-2020,7490,Prince Hall School,Elementary,93.4
2019-2020,7500,Feltonville School of Arts and Sciences,Middle,96.0
2019-2020,7510,Mary M. Bethune School,Elementary-Middle,91.6
2019-2020,7530,William Rowen School,Elementary,94.1
2019-2020,7730,Roberto Clemente School,Middle,95.6
2019-2020,8010,Abraham Lincoln High School,High,89.9
2019-2020,8020,Northeast High School,High,91.7
2019-2020,8030,George Washington High School,High,90.0
2019-2020,8040,Arts Academy at Benjamin Rush,High,96.0
2019-2020,8090,Swenson Arts and Technology High School,High,94.2
2019-2020,8120,Woodrow Wilson School,Middle,95.2
2019-2020,8140,Austin Meehan School,Middle,92.1
2019-2020,8160,Baldi School,Middle,96.0
2019-2020,8200,Ethan Allen School,Elementary-Middle,93.9
2019-2020,8210,Joseph H. Brown School,Elementary,92.6
2019-2020,8230,Kennedy C. Crossan School,Elementary,95.2
2019-2020,8240,Hamilton Disston School,Elementary-Middle,90.7
2019-2020,8250,Edwin Forrest School,Elementary,93.0
2019-2020,8260,Fox Chase School,Elementary,94.5
2019-2020,8270,Thomas Holme School,Elementary,93.8
2019-2020,8300,Mayfair School,Elementary-Middle,95.6
2019-2020,8310,J. Hampton Moore School,Elementary,94.5
2019-2020,8340,Solomon Solis-Cohen School,Elementary,94.0
2019-2020,8350,Gilbert Spruance School,Elementary-Middle,93.7
2019-2020,8360,Rhawnhurst School,Elementary,95.1
2019-2020,8370,Watson Comly School,Elementary,95.1
2019-2020,8380,Louis H. Farrell School,Elementary-Middle,95.9
2019-2020,8390,A.L. Fitzpatrick School,Elementary-Middle,93.2
2019-2020,8400,Anne Frank School,Elementary,96.1
2019-2020,8410,Robert B. Pollock School,Elementary,93.2
2019-2020,8420,Stephen Decatur School,Elementary-Middle,94.5
2019-2020,8430,Joseph Greenberg School,Elementary-Middle,97.3
2019-2020,8440,William H. Loesche School,Elementary,95.0
2019-2020,8560,The Workshop School,High,94.3
2019-2020,2680,The Science Leadership Academy at Beeber,Middle-High,96.1
2019-2020,5610,Building 21,High,92.1
2019-2020,5620,The U School,High,86.8
2019-2020,5660,The LINC,High,89.2
2019-2020,6400,Widener Memorial School,Elementary-Middle-High,76.0
2019-2020,8780,Philadelphia Virtual Academy,Middle-High,99.8
2019-2020,2050,Science Leadership Academy Middle School,Middle,96.3
2019-2020,4360,Kenderton Elementary School,Elementary-Middle,91.1
2019-2020,5700,Kensington High School,High,83.1
2019-2020,8770,John Hancock Demonstration School,Elementary-Middle,94.2
2019-2020,5180,Vaux High School: A Big Picture,High,85.6
